#;Status;BANCO;FORNCEDORA;PREFIXO;PLACA;RENAVAM;MOD. CHASSI;CARROCERIA;ANO/MOD;MODELO;SITUAÇÃO;;;;;;;;;;;;;;;
4;ETBL;SANTANDER;VIAÇÃO NOVACAP;546;LMZ8B20;1202780609;OF-1721;CAIO APACHE U;2019;2020;REFORMAR;;;;;;;;;;;;;;;
5;ETBL;GUANABARA;TRANSP. STO ANTONIO;553;LTU4J51;1201359705;OF-1721L;CAIO APACHE U;2019;2020;REFORMAR;;;;;;;;;;;;;;;
7;ETBL;LIBERADO;VIAÇÃO PENDOTIBA;564;RJO4D70;1272112206;OF-1721L;CAIO APACHE U;2021;2022;REFORMAR;;;;;;;;;;;;;;;
10;P;GUANABARA;EXP. FENIX VIAÇÃO;528;LTQ1I31;1185799904;OF-1721;CAIO APACHE U;2019;2020;Manut.;;;;;;;;;;;;;;;
11;P;SANTANDER;VIAÇÃO PENDOTIBA;566;RIX7I98;1272110300;OF-1721L;CAIO APACHE U;2021;2022;Manut.;;;;;;;;;;;;;;;
13;P;GUANABARA;VIAÇÃO VILA REAL;500;LUT5C65;1172451122;OF-1721;CAIO APACHE U;2018;2019;Manut. - CAIXA;;;;;;;;;;;;;;;
17;P;GUANABARA;VIAÇÃO VILA REAL;507;LMP4I30;1172493917;OF-1721;CAIO APACHE U;2018;2019;Manut. - CAIXA;;;;;;;;;;;;;;;
20;P;GUANABARA;VIAÇÃO VILA REAL;510;LRJ6D47;1172736410;OF-1721;CAIO APACHE U;2018;2019;Manut. - CAIXA;;;;;;;;;;;;;;;
24;P;GUANABARA;EXP. FENIX VIAÇÃO;517;KYQ9H32;1162699164;OF-1721;CAIO APACHE U;2018;2019;Manut. - CAIXA;;;;;;;;;;;;;;;
26;P;GUANABARA;EXP. FENIX VIAÇÃO;520;LTI3C01;1162702289;OF-1721;CAIO APACHE U;2018;2019;Manut. - CAIXA;;;;;;;;;;;;;;;
27;P;GUANABARA;TRANSP. STO ANTONIO;551;LMZ2F79;1201160720;OF-1721;CAIO APACHE U;2019;2020;Manut. - CAIXA;;;;;;;;;;;;;;;
28;P;GUANABARA;VIAÇÃO VILA REAL;505;LNH5J88;1172399988;OF-1721;CAIO APACHE U;2018;2019;Manut. - CAIXA/MOTOR;;;;;;;;;;;;;;;
29;P;GUANABARA;VIAÇÃO VILA REAL;511;KZI8448;1158344896;OF-1721;CAIO APACHE U;2018;2019;Manut. - CAIXA/MOTOR;;;;;;;;;;;;;;;
32;P;GUANABARA;VIAÇÃO VILA REAL;513;LTM1373;1158412344;OF-1721;CAIO APACHE U;2018;2019;Manut. - CAIXA/MOTOR;;;;;;;;;;;;;;;
35;P;GUANABARA;EXP. FENIX VIAÇÃO;524;LTQ1I35;1185805173;OF-1721;CAIO APACHE U;2019;2020;Manut. - CAIXA/MOTOR;;;;;;;;;;;;;;;
40;P;GUANABARA;EXP. FENIX VIAÇÃO;527;LTQ1I33;1185803189;OF-1721;CAIO APACHE U;2019;2020;Manut. - CAIXA/MOTOR;;;;;;;;;;;;;;;
43;P;SANTANDER;VIAÇÃO NOVACAP;550;LMT4C50;1183841474;OF-1721;CAIO APACHE U;2019;2020;Manut. - CAIXA/MOTOR;;;;;;;;;;;;;;;
44;P;GUANABARA;TRANSP. STO ANTONIO;552;LMZ3D79;1201370903;OF-1721;CAIO APACHE U;2019;2020;Manut. - CAIXA/MOTOR;;;;;;;;;;;;;;;
45;P;SANTANDER;VIAÇÃO PENDOTIBA;561;RKH4J87;1276187553;OF-1721L;CAIO APACHE U;2021;2022;Manut. - CAIXA/MOTOR;;;;;;;;;;;;;;;
50;P;CARUANA;VIAÇÃO PENDOTIBA;568;RJE4A46;1272108560;OF-1721L;CAIO APACHE U;2021;2022;Manut. - CAIXA/MOTOR;;;;;;;;;;;;;;;
51;P;GUANABARA;VIAÇÃO VILA REAL;504;LMN9492;1158970169;OF-1721;CAIO APACHE U;2018;2019;PRONTO;;;;;;;;;;;;;;;
55;P;GUANABARA;EXP. FENIX VIAÇÃO;526;LTQ1I37;1185806978;OF-1721;CAIO APACHE U;2019;2020;PRONTO;;;;;;;;;;;;;;;
57;P;GUANABARA;VIAÇÃO NOVACAP;535;LTY2E46;1206216589;OF-1721;CAIO APACHE U;2019;2020;PRONTO;;;;;;;;;;;;;;;
9;P;GUANABARA;VIAÇÃO NOVACAP;539;LMT4C65;1183846166;OF-1721;CAIO APACHE U;2019;2020;PRONTO;;;;;;;;;;;;;;;
18;P;SANTANDER;VIAÇÃO NOVACAP;545;LTS1C64;1183848665;OF-1721;CAIO APACHE U;2019;2020;PRONTO;;;;;;;;;;;;;;;
38;P;SANTANDER;VIAÇÃO PENDOTIBA;559;RKO4A60;1267791915;OF-1721L;CAIO APACHE U;2021;2022;PRONTO;;;;;;;;;;;;;;;
41;P;SANTANDER;VIAÇÃO PENDOTIBA;555;LUO4I77;1267779966;OF-1721L;CAIO APACHE U;2021;2022;PRONTO;;;;;;;;;;;;;;;
46;R;CARUANA;VIAÇÃO PENDOTIBA;569;RJP4E45;1272107253;OF-1721L;CAIO APACHE U;2021;2022;BRASO;;;;;;;;;;;;;;;
53;RTP;GUANABARA;EXP. FENIX VIAÇÃO;522;LMT7J02;1185802042;OF-1721;CAIO APACHE U;2019;2020;EM OPERAÇAO;;;;;;;;;;;;;;;
8;RTP;GUANABARA;EXP. FENIX VIAÇÃO;523;LUP8A38;1185796930;OF-1721;CAIO APACHE U;2019;2020;EM OPERAÇAO;;;;;;;;;;;;;;;
12;RTP;GUANABARA;EXP. FENIX VIAÇÃO;525;LTQ1I36;1185806595;OF-1721;CAIO APACHE U;2019;2020;EM OPERAÇAO;;;;;;;;;;;;;;;
14;RTP;GUANABARA;VIAÇÃO NOVACAP;531;LAA0H08;1206183419;OF-1721;CAIO APACHE U;2019;2020;EM OPERAÇAO;;;;;;;;;;;;;;;
16;RTP;GUANABARA;VIAÇÃO NOVACAP;534;LTT8C55;1197807923;OF-1721;CAIO APACHE U;2019;2020;EM OPERAÇAO;;;;;;;;;;;;;;;
47;RTP;GUANABARA;VIAÇÃO NOVACAP;536;LUK1E38;1197806854;OF-1721;CAIO APACHE U;2019;2020;EM OPERAÇAO;;;;;;;;;;;;;;;
49;RTP;GUANABARA;VIAÇÃO NOVACAP;537;LUH8C28;1199722780;OF-1721;CAIO APACHE U;2019;2020;EM OPERAÇAO;;;;;;;;;;;;;;;
58;RTP;GUANABARA;VIAÇÃO NOVACAP;541;LTU2J39;1199738058;OF-1721;CAIO APACHE U;2019;2020;EM OPERAÇAO;;;;;;;;;;;;;;;
22;RTP;SANTANDER;VIAÇÃO NOVACAP;542;LTU7B94;1202777594;OF-1721;CAIO APACHE U;2019;2020;EM OPERAÇAO;;;;;;;;;;;;;;;
23;RTP;SANTANDER;VIAÇÃO NOVACAP;544;LMZ8B10;1202778701;OF-1721;CAIO APACHE U;2019;2020;EM OPERAÇAO;;;;;;;;;;;;;;;
25;A;SANTANDER;VIAÇÃO PENDOTIBA;565;LUK6J92;1272111153;OF-1721L;CAIO APACHE U;2021;2022;A. CAMPO GRANDE - MS;;;;;;;;;;;;;;;
30;A;SANTANDER;VIAÇÃO PENDOTIBA;562;RKH4J88;1276196269;OF-1721L;CAIO APACHE U;2021;2022;A. DOURADOS;;;;;;;;;;;;;;;
31;A;GUANABARA;VIAÇÃO VILA REAL;501;LTM1374;1158414290;OF-1721;CAIO APACHE U;2018;2019;A. ITABORAI;;;;;;;;;;;;;;;
33;A;GUANABARA;VIAÇÃO VILA REAL;502;LTM9B19;1172494417;OF-1721;CAIO APACHE U;2018;2019;A. ITABORAI;;;;;;;;;;;;;;;
34;A;GUANABARA;VIAÇÃO VILA REAL;506;LTM1909;1158968920;OF-1721;CAIO APACHE U;2018;2019;A. ITABORAI;;;;;;;;;;;;;;;
36;A;GUANABARA;VIAÇÃO VILA REAL;515;LTM1375;1158417842;OF-1721;CAIO APACHE U;2018;2019;A. ITABORAI;;;;;;;;;;;;;;;
37;A;GUANABARA;EXP. FENIX VIAÇÃO;519;KYQ9H33;1162700510;OF-1721;CAIO APACHE U;2018;2019;A. ITABORAI;;;;;;;;;;;;;;;

39;A;CARUANA;VIAÇÃO PENDOTIBA;567;RJB4D78;1272109434;OF-1721L;CAIO APACHE U;2021;2022;A. RONDONOPOLIS ;;;;;;;;;;;;;;;
